 ,Label,Area,Mean,Min,Max,%Area
1,0h_10 - Red Light_11.tif:0595-0612,1803,20.37,0,85,0
2,0h_10 - Red Light_11.tif:0216-0749,6119,15.78,0,85,0
3,0h_10 - Red Light_11.tif:0335-0325,2282,13.49,0,85,0
4,0h_10 - Red Light_11.tif:0554-0472,3356,16.34,0,85,0
5,0h_10 - Red Light_11.tif:0622-0035,4496,6.11,0,85,0
6,0h_10 - Red Light_11.tif:0649-0088,4371,4.01,0,85,0
7,0h_10 - Red Light_11.tif:0074-0093,3190,0.06,0,80,0
8,0h_10 - Red Light_11.tif:0481-0557,1346,8.34,0,85,0
9,0h_10 - Red Light_11.tif:0550-0033,2654,4.17,0,85,0
10,0h_10 - Red Light_11.tif:0213-0177,4745,1.65,0,72,0
11,0h_10 - Red Light_11.tif:0586-0817,1767,5.05,0,83,0
12,0h_10 - Red Light_11.tif:0915-0158,6708,7.33,0,85,0
13,0h_10 - Red Light_11.tif:0408-0256,4757,4.88,0,85,0
14,0h_10 - Red Light_11.tif:0751-0384,2502,6.95,0,85,0
