 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0344-0138,5577,1.98,0,85,0
2,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0390-0229,1023,0.90,0,85,0
3,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0346-0258,1589,1.19,0,83,0
4,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0398-0292,1383,0.99,0,85,0
5,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0373-0300,2133,2.69,0,85,0
6,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0339-0309,1595,0.03,0,5,0
7,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0278-0275,1488,0.06,0,13,0
8,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0245-0327,1347,0.32,0,85,0
9,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0235-0346,1405,0.49,0,11,0
10,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0302-0354,1318,0.59,0,17,0
11,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0276-0376,785,0.78,0,14,0
12,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0341-0345,1170,0.53,0,21,0
13,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0319-0384,2175,0.85,0,67,0
14,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0363-0381,1253,0.07,0,11,0
15,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0402-0385,2142,0.28,0,56,0
16,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0430-0348,1477,0.62,0,24,0
17,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0449-0306,2343,0.12,0,15,0
18,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0459-0299,1408,0.09,0,12,0
19,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0539-0433,11219,0.68,0,28,0
20,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0506-0536,3613,0.08,0,12,0
21,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0584-0542,2175,0.10,0,9,0
22,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0593-0567,680,0.30,0,21,0
23,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0549-0600,1104,0.24,0,9,0
24,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0528-0621,2695,0.98,0,17,0
25,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0508-0580,1372,0.20,0,17,0
26,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0464-0593,1448,0.32,0,12,0
27,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0482-0610,687,1.26,0,14,0
28,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0463-0636,1105,3.35,0,44,0
29,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0531-0666,3655,4.66,0,85,0
30,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0482-0691,2537,0.43,0,18,0
31,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0589-0713,1979,2.57,0,60,0
32,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0636-0702,1538,0.08,0,10,0
33,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0601-0808,6572,1.25,0,35,0
34,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0612-0867,3044,0.05,0,14,0
35,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0536-0905,1537,1.49,0,85,0
36,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0502-0900,1613,0.57,0,85,0
37,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0469-0891,1007,7.944E-3,0,5,0
38,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0499-0764,6249,2.56,0,85,0
39,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0456-0819,3990,9.47,0,85,0
40,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0425-0776,1699,0.31,0,85,0
41,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0473-0954,4566,1.41,0,85,0
42,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0445-0983,2079,0.61,0,85,0
43,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0500-1003,1395,0.21,0,72,0
44,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0462-1039,2428,1.47,0,85,0
45,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0324-0655,2229,2.40,0,40,0
46,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0285-0591,2926,0.32,0,13,0
47,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0218-0565,2682,0.28,0,10,0
48,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0174-0630,1202,0.04,0,16,0
49,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0284-0607,1298,0.07,0,7,0
50,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0279-0638,2420,9.504E-3,0,7,0
51,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0235-0479,3813,1.61,0,32,0
52,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0192-0507,1567,1.14,0,27,0
53,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0162-0530,1213,0.54,0,12,0
54,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0376-0672,3307,0.08,0,14,0
55,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0213-0440,1852,0.45,0,20,0
56,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0181-0488,866,0.27,0,17,0
57,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0614-0609,1824,0.17,0,13,0
58,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0582-0618,638,0.01,0,3,0
59,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0607-0660,1849,2.73,0,85,0
60,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0605-0950,5030,1.85,0,85,0
61,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0639-0973,3001,0.03,0,7,0
62,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0587-1024,1717,0.14,0,85,0
63,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0554-1108,3972,0.16,0,85,0
64,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0477-1090,2262,0.12,0,10,0
65,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0726-1005,4480,0.35,0,31,0
66,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0712-1046,4025,0.20,0,18,0
67,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0696-1092,1932,0.07,0,10,0
68,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0650-1036,1264,0.10,0,10,0
69,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0647-1150,2093,0.37,0,19,0
70,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0665-1189,3027,0.40,0,21,0
71,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0556-1173,4476,0.07,0,10,0
72,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0761-1138,2304,0.54,0,14,0
73,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0727-1153,834,0.08,0,7,0
74,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0688-1142,1604,0.07,0,7,0
75,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0723-1192,3647,0.17,0,14,0
76,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0402-0171,2423,0.52,0,85,0
77,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0430-0227,2192,3.61,0,85,0
78,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0455-0254,1781,0.85,0,36,0
79,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0450-0174,3407,0.26,0,48,0
80,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0488-0280,1764,0.05,0,7,0
81,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0505-0228,1734,0.46,0,62,0
82,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0485-0146,1866,0.06,0,8,0
83,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0504-0155,1394,0.09,0,35,0
84,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0551-0162,2335,0.17,0,49,0
85,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0542-0219,1967,5.74,0,85,0
86,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0643-0317,3212,0.80,0,56,0
87,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0598-0322,1963,1.33,0,83,0
88,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0637-0459,1770,0.02,0,6,0
89,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0678-0427,2319,0.01,0,17,0
90,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0670-0488,1469,1.37,0,85,0
91,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0707-0536,4588,0.73,0,85,0
92,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0636-0606,1240,0.11,0,20,0
93,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0755-0576,2162,0.90,0,85,0
94,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0809-0581,2798,0.02,0,18,0
95,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0800-0662,1725,0.05,0,44,0
96,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0856-0642,2316,0.34,0,85,0
97,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0865-0719,2395,0.13,0,54,0
98,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0811-0744,2822,0.22,0,85,0
99,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0791-0711,844,6.98,0,85,0
100,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0729-0781,2755,0.47,0,24,0
101,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0748-0805,1879,0.26,0,28,0
102,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0780-0829,1578,0.07,0,12,0
103,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0825-0782,1033,0.50,0,49,0
104,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0312-0906,2645,0.31,0,85,0
105,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0233-0848,1786,0.05,0,10,0
106,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0594-0226,8640,1.34,0,85,0
107,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0757-0471,3353,0.09,0,11,0
108,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0797-0529,1992,0.03,0,8,0
109,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0867-0580,2556,1.19,0,85,0
110,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0668-0820,2010,0.25,0,25,0
111,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0696-0869,3124,0.13,0,13,0
112,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0375-0907,1076,0.22,0,36,0
113,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0420-0902,2880,0.37,0,85,0
114,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0354-0947,2317,0.53,0,85,0
115,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0400-0978,2437,1.77,0,85,0
116,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0356-1005,1495,0.60,0,85,0
117,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0330-0977,741,0.41,0,58,0
118,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0291-0994,1762,0.49,0,29,0
119,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0278-1011,2367,0.48,0,85,0
120,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0397-1042,2041,3.57,0,85,0
121,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0450-1106,2521,1.38,0,85,0
122,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0440-1152,1704,2.14,0,85,0
123,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0405-1110,978,0.11,0,45,0
124,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0374-1090,2065,0.80,0,85,0
