 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0059-0126,1755,9.42,0,85,127.19,62.19,0
2,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0182-0207,1673,14.25,0,85,206.20,181.04,0
3,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0219-0243,879,2.87,0,53,244.44,218.70,0
4,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0139-0247,952,7.84,0,85,246.83,139.54,0
5,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0110-0279,1344,1.92,0,48,278.83,111.49,0
6,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0046-0312,1644,6.48,0,85,313.80,47.53,0
7,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0067-0343,565,3.57,0,34,343.42,67.92,0
8,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0068-0378,760,2.81,0,39,376.65,67.78,0
9,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0136-0331,1631,7.86,0,59,332.28,138.32,0
10,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0149-0387,1077,1.48,0,30,386.48,148.17,0
11,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0166-0418,844,2.11,0,28,417.26,166.23,0
12,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0108-0419,1290,2.54,0,37,417.49,108.10,0
13,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0189-0288,2129,16.59,0,85,287.25,188.27,0
14,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0219-0387,1771,6.61,0,85,386.92,220.31,0
15,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0259-0365,2072,15.54,0,85,364.93,260.94,0
16,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0243-0440,1783,4.11,0,85,448.00,249.62,0
17,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0190-0483,1008,3.94,0,30,485.17,186.92,0
18,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0164-0522,1529,6.21,0,50,522.06,161.56,0
19,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0206-0570,1447,4.64,0,64,569.85,206.42,0
20,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0236-0527,1767,1.66,0,37,530.52,234.58,0
21,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0272-0565,786,4.98,0,85,565.18,276.09,0
