 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0842-0190,2511,0.02,0,25,188.62,843.01,0
2,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0812-0216,2636,0.00,0,0,240.30,816.98,0
3,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0852-0080,1385,0.03,0,35,79.73,852.76,0
4,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0890-0074,488,0.00,0,0,74.92,890.11,0
5,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0698-0203,2391,0.00,0,0,204.17,699.19,0
6,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0691-0284,1159,0.00,0,0,284.89,691.39,0
7,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0730-0300,813,0.01,0,9,302.51,732.38,0
8,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0917-0152,1065,0.00,0,0,151.75,917.87,0
9,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0938-0102,1652,0.00,0,0,102.59,938.35,0
10,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0420-0434,1006,0.03,0,11,434.59,420.61,0
11,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0417-0534,1188,0.18,0,68,533.97,417.64,0
12,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0364-0558,1424,0.04,0,60,558.97,363.58,0
13,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0418-0626,1216,0.00,0,0,627.19,417.16,0
14,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0423-0660,374,0.00,0,0,660.67,422.55,0
15,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0414-0689,601,0.00,0,0,689.41,413.62,0
16,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0620-0639,637,0.64,0,85,638.80,620.61,0
17,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0598-0590,605,0.08,0,34,590.82,598.15,0
18,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0594-0561,517,0.24,0,51,561.92,593.04,0
19,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0555-0706,1030,2.913E-3,0,3,705.59,555.53,0
20,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0072-0970,7504,0.20,0,85,992.67,72.91,0
21,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0113-1099,1805,0.10,0,85,1094.03,113.38,0
22,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0047-1076,1164,8.591E-3,0,7,1078.42,51.56,0
23,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0129-1244,914,0.00,0,0,1242.66,130.25,0
24,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0044-0190,939,0.11,0,65,189.91,43.75,0
25,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0094-0162,1102,0.02,0,5,162.00,94.67,0
26,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0821-0964,703,0.00,0,0,965.15,821.27,0
27,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0267-1268,400,3.43,0,85,1269.41,267.59,0
28,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0308-1263,708,2.21,0,85,1264.11,307.09,0
