 ,Label,Area,Mean,Min,Max,%Area
1,24h_12 - Red Light_11.tif:0610-0087,2305,0.37,0,85,0
2,24h_12 - Red Light_11.tif:0562-0158,3675,0.15,0,85,0
3,24h_12 - Red Light_11.tif:0611-0246,4019,0.00,0,0,0
4,24h_12 - Red Light_11.tif:0614-0340,3097,0.00,0,0,0
5,24h_12 - Red Light_11.tif:0554-0341,2260,0.00,0,0,0
6,24h_12 - Red Light_11.tif:0590-0392,1401,0.00,0,0,0
7,24h_12 - Red Light_11.tif:0781-0683,5643,0.00,0,0,0
8,24h_12 - Red Light_11.tif:0852-0761,7540,0.00,0,0,0
9,24h_12 - Red Light_11.tif:0763-0783,1672,0.00,0,0,0
10,24h_12 - Red Light_11.tif:0742-0805,875,0.00,0,0,0
11,24h_12 - Red Light_11.tif:0771-0867,3230,0.00,0,0,0
12,24h_12 - Red Light_11.tif:0720-0917,2362,0.00,0,0,0
13,24h_12 - Red Light_11.tif:0629-0928,5000,0.00,0,0,0
14,24h_12 - Red Light_11.tif:0639-0866,2259,0.00,0,0,0
15,24h_12 - Red Light_11.tif:0626-0838,2468,0.00,0,0,0
16,24h_12 - Red Light_11.tif:0577-0814,2078,0.00,0,0,0
17,24h_12 - Red Light_11.tif:0669-0720,2859,0.00,0,0,0
18,24h_12 - Red Light_11.tif:0642-0745,1388,0.00,0,0,0
19,24h_12 - Red Light_11.tif:0706-0813,1353,0.00,0,0,0
20,24h_12 - Red Light_11.tif:0624-0037,1666,0.09,0,85,0
21,24h_12 - Red Light_11.tif:0725-0071,1954,0.21,0,85,0
22,24h_12 - Red Light_11.tif:0844-0396,752,0.00,0,0,0
23,24h_12 - Red Light_11.tif:0761-0074,759,0.50,0,85,0
24,24h_12 - Red Light_11.tif:0848-0048,1900,0.21,0,85,0
25,24h_12 - Red Light_11.tif:0874-0095,2489,0.31,0,85,0
26,24h_12 - Red Light_11.tif:0882-0233,1865,4.290E-3,0,8,0
27,24h_12 - Red Light_11.tif:0879-0273,1186,0.15,0,85,0
28,24h_12 - Red Light_11.tif:0784-0391,2152,0.00,0,0,0
29,24h_12 - Red Light_11.tif:0661-0375,1985,0.00,0,0,0
30,24h_12 - Red Light_11.tif:0738-0414,1773,0.00,0,0,0
31,24h_12 - Red Light_11.tif:0771-0408,1329,0.00,0,0,0
32,24h_12 - Red Light_11.tif:0938-0401,791,0.48,0,85,0
33,24h_12 - Red Light_11.tif:0893-0425,1552,0.42,0,85,0
34,24h_12 - Red Light_11.tif:0921-0454,2089,0.09,0,85,0
35,24h_12 - Red Light_11.tif:0878-0494,1079,0.35,0,85,0
36,24h_12 - Red Light_11.tif:0899-0544,2821,0.35,0,85,0
37,24h_12 - Red Light_11.tif:0907-0598,1146,0.28,0,85,0
38,24h_12 - Red Light_11.tif:0851-0589,2193,0.10,0,85,0
39,24h_12 - Red Light_11.tif:0898-0667,2139,0.00,0,0,0
