 ,Label,Area,Mean,Min,Max,%Area
1,24h_12 - Red Light_11.tif:0460-0680,1618,0.00,0,0,0
2,24h_12 - Red Light_11.tif:0448-0745,1247,0.90,0,85,0
3,24h_12 - Red Light_11.tif:0461-0791,979,0.33,0,85,0
4,24h_12 - Red Light_11.tif:0389-0723,853,0.09,0,37,0
5,24h_12 - Red Light_11.tif:0388-0807,847,0.00,0,0,0
6,24h_12 - Red Light_11.tif:0415-0702,1483,2.697E-3,0,4,0
7,24h_12 - Red Light_11.tif:0530-0696,605,0.00,0,0,0
8,24h_12 - Red Light_11.tif:0528-0743,1231,0.00,0,0,0
9,24h_12 - Red Light_11.tif:0570-0730,1235,0.00,0,0,0
10,24h_12 - Red Light_11.tif:0607-0781,1143,0.00,0,0,0
11,24h_12 - Red Light_11.tif:0610-0711,1070,0.00,0,0,0
12,24h_12 - Red Light_11.tif:0658-0793,1350,0.00,0,0,0
13,24h_12 - Red Light_11.tif:0516-0830,958,0.00,0,0,0
14,24h_12 - Red Light_11.tif:0471-0926,2475,0.00,0,0,0
15,24h_12 - Red Light_11.tif:0409-0884,1600,3.30,0,85,0
16,24h_12 - Red Light_11.tif:0458-0852,958,0.36,0,79,0
17,24h_12 - Red Light_11.tif:0478-0878,540,0.04,0,21,0
18,24h_12 - Red Light_11.tif:0452-0826,550,0.00,0,0,0
19,24h_12 - Red Light_11.tif:0385-0939,1832,0.00,0,0,0
20,24h_12 - Red Light_11.tif:0427-0978,1111,0.00,0,0,0
21,24h_12 - Red Light_11.tif:0424-1010,630,0.00,0,0,0
22,24h_12 - Red Light_11.tif:0386-1037,1419,0.00,0,0,0
23,24h_12 - Red Light_11.tif:0605-0656,477,0.00,0,0,0
24,24h_12 - Red Light_11.tif:0784-0586,2242,0.00,0,0,0
25,24h_12 - Red Light_11.tif:0704-0592,1175,0.00,0,0,0
26,24h_12 - Red Light_11.tif:0743-0510,1109,0.00,0,0,0
27,24h_12 - Red Light_11.tif:0851-0671,1777,0.00,0,0,0
28,24h_12 - Red Light_11.tif:0341-0900,888,0.00,0,0,0
29,24h_12 - Red Light_11.tif:0318-0953,756,0.00,0,0,0
30,24h_12 - Red Light_11.tif:0295-1175,1141,0.00,0,0,0
31,24h_12 - Red Light_11.tif:0311-0831,831,0.00,0,0,0
32,24h_12 - Red Light_11.tif:0298-0893,677,0.00,0,0,0
33,24h_12 - Red Light_11.tif:0274-0817,679,0.05,0,37,0
34,24h_12 - Red Light_11.tif:0292-0798,609,0.00,0,0,0
35,24h_12 - Red Light_11.tif:0293-0773,589,0.00,0,0,0
36,24h_12 - Red Light_11.tif:0323-0775,397,0.00,0,0,0
37,24h_12 - Red Light_11.tif:0356-0801,1294,0.00,0,0,0
38,24h_12 - Red Light_11.tif:0371-0860,944,0.00,0,0,0
39,24h_12 - Red Light_11.tif:0358-0953,666,0.00,0,0,0
40,24h_12 - Red Light_11.tif:0310-1024,1937,0.00,0,0,0
41,24h_12 - Red Light_11.tif:0562-1025,1007,0.00,0,0,0
42,24h_12 - Red Light_11.tif:0513-1027,3344,0.00,0,0,0
43,24h_12 - Red Light_11.tif:0830-0490,1232,0.11,0,85,0
44,24h_12 - Red Light_11.tif:0703-0114,1001,0.66,0,85,0
45,24h_12 - Red Light_11.tif:0731-0150,1050,0.31,0,85,0
46,24h_12 - Red Light_11.tif:0624-0509,610,0.00,0,0,0
47,24h_12 - Red Light_11.tif:0622-0485,441,0.00,0,0,0
48,24h_12 - Red Light_11.tif:0592-0494,605,0.00,0,0,0
49,24h_12 - Red Light_11.tif:0590-0468,907,0.00,0,0,0
50,24h_12 - Red Light_11.tif:0565-0411,1737,0.00,0,0,0
51,24h_12 - Red Light_11.tif:0538-0464,879,0.00,0,0,0
52,24h_12 - Red Light_11.tif:0541-0428,863,0.00,0,0,0
53,24h_12 - Red Light_11.tif:0495-0483,1614,0.08,0,85,0
54,24h_12 - Red Light_11.tif:0432-0388,1148,0.00,0,0,0
55,24h_12 - Red Light_11.tif:0464-0458,849,0.44,0,85,0
56,24h_12 - Red Light_11.tif:0485-0437,721,0.00,0,0,0
57,24h_12 - Red Light_11.tif:0511-0452,659,0.00,0,0,0
58,24h_12 - Red Light_11.tif:0514-0422,627,0.00,0,0,0
59,24h_12 - Red Light_11.tif:0462-0386,832,0.00,0,0,0
60,24h_12 - Red Light_11.tif:0499-0359,885,0.00,0,0,0
61,24h_12 - Red Light_11.tif:0418-0336,719,0.00,0,0,0
62,24h_12 - Red Light_11.tif:0415-0300,543,0.00,0,0,0
63,24h_12 - Red Light_11.tif:0391-0320,444,0.00,0,0,0
64,24h_12 - Red Light_11.tif:0376-0358,416,0.00,0,0,0
65,24h_12 - Red Light_11.tif:0362-0400,962,0.23,0,85,0
66,24h_12 - Red Light_11.tif:0391-0465,608,1.04,0,85,0
67,24h_12 - Red Light_11.tif:0420-0463,805,0.23,0,85,0
68,24h_12 - Red Light_11.tif:0384-0556,1757,0.00,0,0,0
69,24h_12 - Red Light_11.tif:0404-0609,833,0.00,0,0,0
70,24h_12 - Red Light_11.tif:0382-0630,493,0.00,0,0,0
71,24h_12 - Red Light_11.tif:0195-0324,3429,8.166E-3,0,28,0
72,24h_12 - Red Light_11.tif:0279-0378,1866,0.14,0,85,0
73,24h_12 - Red Light_11.tif:0270-0413,1658,0.00,0,0,0
74,24h_12 - Red Light_11.tif:0211-0397,1960,0.00,0,0,0
75,24h_12 - Red Light_11.tif:0198-0375,776,0.00,0,0,0
76,24h_12 - Red Light_11.tif:0284-0305,1437,5.81,0,85,0
77,24h_12 - Red Light_11.tif:0316-0307,482,0.00,0,0,0
78,24h_12 - Red Light_11.tif:0292-0246,1482,0.00,0,0,0
79,24h_12 - Red Light_11.tif:0266-0223,378,0.00,0,0,0
80,24h_12 - Red Light_11.tif:0294-0079,1069,0.21,0,85,0
81,24h_12 - Red Light_11.tif:0296-0028,938,0.40,0,85,0
82,24h_12 - Red Light_11.tif:0355-0076,849,0.21,0,85,0
83,24h_12 - Red Light_11.tif:0358-0136,771,0.00,0,0,0
84,24h_12 - Red Light_11.tif:0426-0202,573,0.00,0,0,0
85,24h_12 - Red Light_11.tif:0456-0222,355,0.24,0,85,0
86,24h_12 - Red Light_11.tif:0450-0259,787,0.00,0,0,0
87,24h_12 - Red Light_11.tif:0363-0329,964,0.00,0,0,0
